RegionName,Date,Zhvi,Year,Month
60603,2000-01-31,,2000,1
60604,2000-01-31,,2000,1
60603,2000-02-29,,2000,2
60604,2000-02-29,,2000,2
60603,2000-03-31,,2000,3
60604,2000-03-31,,2000,3
60603,2000-04-30,,2000,4
60604,2000-04-30,,2000,4
60603,2000-05-31,,2000,5
60604,2000-05-31,,2000,5
60603,2000-06-30,,2000,6
60604,2000-06-30,,2000,6
60603,2000-07-31,,2000,7
60604,2000-07-31,,2000,7
60603,2000-08-31,,2000,8
60604,2000-08-31,,2000,8
60603,2000-09-30,,2000,9
60604,2000-09-30,,2000,9
60603,2000-10-31,,2000,10
60604,2000-10-31,,2000,10
60603,2000-11-30,,2000,11
60604,2000-11-30,,2000,11
60603,2000-12-31,,2000,12
60604,2000-12-31,,2000,12
60603,2001-01-31,,2001,1
60604,2001-01-31,,2001,1
60603,2001-02-28,,2001,2
60604,2001-02-28,,2001,2
60603,2001-03-31,,2001,3
60604,2001-03-31,,2001,3
60603,2001-04-30,,2001,4
60604,2001-04-30,,2001,4
60603,2001-05-31,,2001,5
60604,2001-05-31,,2001,5
60603,2001-06-30,,2001,6
60604,2001-06-30,,2001,6
60603,2001-07-31,,2001,7
60604,2001-07-31,,2001,7
60603,2001-08-31,,2001,8
60604,2001-08-31,,2001,8
60603,2001-09-30,,2001,9
60604,2001-09-30,,2001,9
60603,2001-10-31,,2001,10
60604,2001-10-31,,2001,10
60603,2001-11-30,,2001,11
60604,2001-11-30,,2001,11
60603,2001-12-31,,2001,12
60604,2001-12-31,,2001,12
60603,2002-01-31,,2002,1
60604,2002-01-31,,2002,1
60603,2002-02-28,,2002,2
60604,2002-02-28,,2002,2
60603,2002-03-31,,2002,3
60604,2002-03-31,,2002,3
60603,2002-04-30,,2002,4
60604,2002-04-30,,2002,4
60603,2002-05-31,,2002,5
60604,2002-05-31,,2002,5
60603,2002-06-30,,2002,6
60604,2002-06-30,,2002,6
60603,2002-07-31,,2002,7
60604,2002-07-31,,2002,7
60603,2002-08-31,,2002,8
60604,2002-08-31,,2002,8
60603,2002-09-30,,2002,9
60604,2002-09-30,,2002,9
60603,2002-10-31,,2002,10
60604,2002-10-31,,2002,10
60603,2002-11-30,,2002,11
60604,2002-11-30,,2002,11
60603,2002-12-31,,2002,12
60604,2002-12-31,,2002,12
60603,2003-01-31,,2003,1
60604,2003-01-31,,2003,1
60603,2003-02-28,,2003,2
60604,2003-02-28,,2003,2
60603,2003-03-31,,2003,3
60604,2003-03-31,,2003,3
60603,2003-04-30,,2003,4
60604,2003-04-30,,2003,4
60603,2003-05-31,,2003,5
60604,2003-05-31,,2003,5
60603,2003-06-30,,2003,6
60604,2003-06-30,,2003,6
60603,2003-07-31,,2003,7
60604,2003-07-31,,2003,7
60603,2003-08-31,,2003,8
60604,2003-08-31,,2003,8
60603,2003-09-30,,2003,9
60604,2003-09-30,,2003,9
60603,2003-10-31,,2003,10
60604,2003-10-31,,2003,10
60603,2003-11-30,,2003,11
60604,2003-11-30,,2003,11
60603,2003-12-31,,2003,12
60604,2003-12-31,,2003,12
60603,2004-01-31,,2004,1
60604,2004-01-31,,2004,1
60603,2004-02-29,,2004,2
60604,2004-02-29,,2004,2
60603,2004-03-31,,2004,3
60604,2004-03-31,,2004,3
60603,2004-04-30,,2004,4
60604,2004-04-30,,2004,4
60603,2004-05-31,,2004,5
60604,2004-05-31,,2004,5
60603,2004-06-30,,2004,6
60604,2004-06-30,,2004,6
60603,2004-07-31,,2004,7
60604,2004-07-31,,2004,7
60603,2004-08-31,,2004,8
60604,2004-08-31,,2004,8
60603,2004-09-30,,2004,9
60604,2004-09-30,,2004,9
60603,2004-10-31,,2004,10
60604,2004-10-31,,2004,10
60603,2004-11-30,,2004,11
60604,2004-11-30,,2004,11
60603,2004-12-31,,2004,12
60604,2004-12-31,,2004,12
60603,2005-01-31,,2005,1
60604,2005-01-31,,2005,1
60603,2005-02-28,,2005,2
60604,2005-02-28,,2005,2
60603,2005-03-31,,2005,3
60604,2005-03-31,,2005,3
60603,2005-04-30,,2005,4
60604,2005-04-30,,2005,4
60603,2005-05-31,,2005,5
60604,2005-05-31,,2005,5
60603,2005-06-30,,2005,6
60604,2005-06-30,,2005,6
60603,2005-07-31,,2005,7
60604,2005-07-31,,2005,7
60603,2005-08-31,,2005,8
60604,2005-08-31,,2005,8
60603,2005-09-30,,2005,9
60604,2005-09-30,,2005,9
60603,2005-10-31,,2005,10
60604,2005-10-31,,2005,10
60603,2005-11-30,,2005,11
60604,2005-11-30,,2005,11
60603,2005-12-31,,2005,12
60604,2005-12-31,,2005,12
60603,2006-01-31,,2006,1
60604,2006-01-31,,2006,1
60603,2006-02-28,,2006,2
60604,2006-02-28,,2006,2
60603,2006-03-31,,2006,3
60604,2006-03-31,,2006,3
60603,2006-04-30,,2006,4
60604,2006-04-30,,2006,4
60603,2006-05-31,,2006,5
60604,2006-05-31,,2006,5
60603,2006-06-30,,2006,6
60604,2006-06-30,,2006,6
60603,2006-07-31,,2006,7
60604,2006-07-31,,2006,7
60603,2006-08-31,,2006,8
60604,2006-08-31,,2006,8
60603,2006-09-30,,2006,9
60604,2006-09-30,,2006,9
60603,2006-10-31,,2006,10
60604,2006-10-31,,2006,10
60603,2006-11-30,,2006,11
60604,2006-11-30,,2006,11
60603,2006-12-31,,2006,12
60604,2006-12-31,,2006,12
60603,2007-01-31,,2007,1
60604,2007-01-31,,2007,1
60603,2007-02-28,,2007,2
60604,2007-02-28,,2007,2
60603,2007-03-31,,2007,3
60604,2007-03-31,,2007,3
60603,2007-04-30,,2007,4
60604,2007-04-30,,2007,4
60603,2007-05-31,,2007,5
60604,2007-05-31,,2007,5
60603,2007-06-30,,2007,6
60604,2007-06-30,,2007,6
60603,2007-07-31,,2007,7
60604,2007-07-31,,2007,7
60603,2007-08-31,,2007,8
60604,2007-08-31,,2007,8
60603,2007-09-30,,2007,9
60604,2007-09-30,,2007,9
60603,2007-10-31,,2007,10
60604,2007-10-31,,2007,10
60603,2007-11-30,,2007,11
60604,2007-11-30,,2007,11
60603,2007-12-31,,2007,12
60604,2007-12-31,,2007,12
60603,2008-01-31,,2008,1
60604,2008-01-31,,2008,1
60603,2008-02-29,,2008,2
60604,2008-02-29,,2008,2
60603,2008-03-31,,2008,3
60604,2008-03-31,,2008,3
60628,2008-04-30,,2008,4
60603,2008-04-30,,2008,4
60604,2008-04-30,,2008,4
60603,2008-05-31,,2008,5
60604,2008-05-31,,2008,5
60603,2008-06-30,,2008,6
60604,2008-06-30,,2008,6
60603,2008-07-31,,2008,7
60604,2008-07-31,,2008,7
60603,2008-08-31,,2008,8
60604,2008-08-31,,2008,8
60603,2008-09-30,,2008,9
60604,2008-09-30,,2008,9
60603,2008-10-31,,2008,10
60604,2008-10-31,,2008,10
60603,2008-11-30,,2008,11
60604,2008-11-30,,2008,11
60603,2008-12-31,,2008,12
60604,2008-12-31,,2008,12
60603,2009-01-31,,2009,1
60604,2009-01-31,,2009,1
60603,2009-02-28,,2009,2
60604,2009-02-28,,2009,2
60603,2009-03-31,,2009,3
60604,2009-03-31,,2009,3
60603,2009-04-30,,2009,4
60604,2009-04-30,,2009,4
60603,2009-05-31,,2009,5
60604,2009-05-31,,2009,5
60603,2009-06-30,,2009,6
60604,2009-06-30,,2009,6
60603,2009-07-31,,2009,7
60604,2009-07-31,,2009,7
60603,2009-08-31,,2009,8
60604,2009-08-31,,2009,8
60603,2009-09-30,,2009,9
60604,2009-09-30,,2009,9
60603,2009-10-31,,2009,10
60604,2009-10-31,,2009,10
60603,2009-11-30,,2009,11
60604,2009-11-30,,2009,11
60603,2009-12-31,,2009,12
60604,2009-12-31,,2009,12
60603,2010-01-31,,2010,1
60604,2010-01-31,,2010,1
60603,2010-02-28,,2010,2
60604,2010-02-28,,2010,2
60603,2010-03-31,,2010,3
60604,2010-03-31,,2010,3
60603,2010-04-30,,2010,4
60604,2010-04-30,,2010,4
60603,2010-05-31,,2010,5
60604,2010-05-31,,2010,5
60603,2010-06-30,,2010,6
60604,2010-06-30,,2010,6
60603,2010-07-31,,2010,7
60604,2010-07-31,,2010,7
60603,2010-08-31,,2010,8
60604,2010-08-31,,2010,8
60603,2010-09-30,,2010,9
60604,2010-09-30,,2010,9
60603,2010-10-31,,2010,10
60604,2010-10-31,,2010,10
60603,2010-11-30,,2010,11
60604,2010-11-30,,2010,11
60603,2010-12-31,,2010,12
60604,2010-12-31,,2010,12
60603,2011-01-31,,2011,1
60604,2011-01-31,,2011,1
60603,2011-02-28,,2011,2
60604,2011-02-28,,2011,2
60603,2011-03-31,,2011,3
60604,2011-03-31,,2011,3
60603,2011-04-30,,2011,4
60604,2011-04-30,,2011,4
60603,2011-05-31,,2011,5
60604,2011-05-31,,2011,5
60603,2011-06-30,,2011,6
60604,2011-06-30,,2011,6
60603,2011-07-31,,2011,7
60604,2011-07-31,,2011,7
60603,2011-08-31,,2011,8
60604,2011-08-31,,2011,8
60603,2011-09-30,,2011,9
60604,2011-09-30,,2011,9
60603,2011-10-31,,2011,10
60604,2011-10-31,,2011,10
60603,2011-11-30,,2011,11
60604,2011-11-30,,2011,11
60603,2011-12-31,,2011,12
60604,2011-12-31,,2011,12
60603,2012-01-31,,2012,1
60604,2012-01-31,,2012,1
60603,2012-02-29,,2012,2
60604,2012-02-29,,2012,2
60603,2012-03-31,,2012,3
60604,2012-03-31,,2012,3
60603,2012-04-30,,2012,4
60604,2012-04-30,,2012,4
60603,2012-05-31,,2012,5
60604,2012-05-31,,2012,5
60603,2012-06-30,,2012,6
60604,2012-06-30,,2012,6
60603,2012-07-31,,2012,7
60604,2012-07-31,,2012,7
60603,2012-08-31,,2012,8
60604,2012-08-31,,2012,8
60603,2012-09-30,,2012,9
60604,2012-09-30,,2012,9
60603,2012-10-31,,2012,10
60604,2012-10-31,,2012,10
60603,2012-11-30,,2012,11
60604,2012-11-30,,2012,11
60603,2012-12-31,,2012,12
60604,2012-12-31,,2012,12
60603,2013-01-31,,2013,1
60604,2013-01-31,,2013,1
60603,2013-02-28,,2013,2
60604,2013-02-28,,2013,2
60603,2013-03-31,,2013,3
60604,2013-03-31,,2013,3
60603,2013-04-30,,2013,4
60604,2013-04-30,,2013,4
60603,2013-05-31,,2013,5
60604,2013-05-31,,2013,5
60603,2013-06-30,,2013,6
60604,2013-06-30,,2013,6
60603,2013-07-31,,2013,7
60604,2013-07-31,,2013,7
60603,2013-08-31,,2013,8
60604,2013-08-31,,2013,8
60603,2013-09-30,,2013,9
60604,2013-09-30,,2013,9
60603,2013-10-31,,2013,10
60604,2013-10-31,,2013,10
60603,2013-11-30,,2013,11
60604,2013-11-30,,2013,11
60603,2013-12-31,,2013,12
60604,2013-12-31,,2013,12
60603,2014-01-31,,2014,1
60604,2014-01-31,,2014,1
60603,2014-02-28,,2014,2
60604,2014-02-28,,2014,2
60603,2014-03-31,,2014,3
60604,2014-03-31,,2014,3
60603,2014-04-30,,2014,4
60604,2014-04-30,,2014,4
60603,2014-05-31,,2014,5
60604,2014-05-31,,2014,5
60603,2014-06-30,,2014,6
60604,2014-06-30,,2014,6
60603,2014-07-31,,2014,7
60604,2014-07-31,,2014,7
60603,2014-08-31,,2014,8
60604,2014-08-31,,2014,8
60603,2014-09-30,,2014,9
60604,2014-09-30,,2014,9
60603,2014-10-31,,2014,10
60603,2014-11-30,,2014,11
60603,2014-12-31,,2014,12
60603,2015-01-31,,2015,1
60603,2015-02-28,,2015,2
60603,2015-03-31,,2015,3
60603,2015-04-30,,2015,4
60603,2015-05-31,,2015,5
60603,2015-06-30,,2015,6
60603,2015-07-31,,2015,7
60603,2015-08-31,,2015,8
60603,2015-09-30,,2015,9
60603,2015-10-31,,2015,10
60603,2015-11-30,,2015,11
60603,2015-12-31,,2015,12
60603,2016-01-31,,2016,1
60603,2016-02-29,,2016,2
60603,2016-03-31,,2016,3
60603,2016-04-30,,2016,4
60603,2016-05-31,,2016,5
60603,2016-06-30,,2016,6
60603,2016-07-31,,2016,7
60603,2016-08-31,,2016,8
60603,2016-09-30,,2016,9
60603,2016-10-31,,2016,10
60603,2016-11-30,,2016,11
